family,size,instance_index,method,instance_source,problem_seed,instance_manifest,projection_regime,projection_topology_family,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_num_reads,sqa_fea,sqa_gap,sqa_schedule_id,sqa_schedule_kind,sqa_beta_scale,sqa_schedule_total_time,sqa_anneal_schedule,projected_sample_size,projected_num_quadratic_couplers,projection_method,comparison_method,projection_measure,projection_measure_lam,projection_penalty_template,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projected_equality_multiplier,projected_inequality_multiplier,normalization_regime,per_constraint_standardization,qubo_normalization_scale,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_global_multiplier,up_lambda0,up_lambda1,up_lambda2
mdkp,5,3,projected_up_support,seed_manifest,3788602488723516016,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-41118.0,cplex_cache,min,1e-09,10,0.32,1000,0.071,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_up_support,projected_up_support,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,36785.42303507256,,,,,,,,,
mdkp,5,3,projected_zephyr,seed_manifest,3788602488723516016,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,zephyr,5,32,-41118.0,cplex_cache,min,1e-09,10,0.384,1000,0.087,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,7,projected_zephyr,projected_zephyr,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06595109991465173,per_constraint_standardized_rows_v1,True,37783.61698752389,,,,,,,,,
mdkp,5,3,unbalanced,seed_manifest,3788602488723516016,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-41118.0,cplex_cache,min,1e-09,10,0.448,1000,0.082,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,33141.0722778645,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,5,4,projected_chimera,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,chimera,5,32,-48834.0,cplex_cache,min,1e-09,10,0.48,1000,0.124,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,4,projected_chimera,projected_chimera,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06205693719508509,per_constraint_standardized_rows_v1,True,36323.76745515408,,,,,,,,,
mdkp,5,4,projected_full,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-48834.0,cplex_cache,min,1e-09,10,0.544,1000,0.121,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_full,projected_full,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,36395.676993801484,,,,,,,,,
mdkp,5,4,projected_pegasus,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,pegasus,5,32,-48834.0,cplex_cache,min,1e-09,10,0.224,1000,0.096,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,7,projected_pegasus,projected_pegasus,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.063160534953693,per_constraint_standardized_rows_v1,True,34574.206246836286,,,,,,,,,
mdkp,5,4,projected_up_support,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-48834.0,cplex_cache,min,1e-09,10,0.448,1000,0.125,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_up_support,projected_up_support,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,36404.40910610302,,,,,,,,,
mdkp,5,4,projected_zephyr,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,zephyr,5,32,-48834.0,cplex_cache,min,1e-09,10,0.416,1000,0.109,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,7,projected_zephyr,projected_zephyr,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06595109991465173,per_constraint_standardized_rows_v1,True,33657.62788694968,,,,,,,,,
mdkp,5,4,unbalanced,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-48834.0,cplex_cache,min,1e-09,10,0.992,1000,0.159,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,32790.65573694827,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,5,5,projected_chimera,seed_manifest,1484739022619714587,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,chimera,5,32,-55644.0,cplex_cache,min,1e-09,10,1.44,1000,0.258,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,4,projected_chimera,projected_chimera,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06205693719508509,per_constraint_standardized_rows_v1,True,33341.94309386227,,,,,,,,,
