method,family,anchor_size,equality_multiplier,inequality_multiplier,tuning_objective,objective_value,success,status,message,size,penalty_config_source,projection_summary_method,projection_method,projection_selection_mode,projection_selection_source,projection_candidate_rank,projection_measure,projection_penalty_template,selected_projection_combo,projected_standardize,projected_penalty_tuning_summary
projected_chimera,mdkp,15,0.0,0.06205693719508509,gap,42886.316004668304,True,0,loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv; source_message=nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=218 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.06205693719508509],15,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv,projected_chimera,projected_chimera,fixed,fixed_cli,1,q2,heaviside,True,True,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv
projected_full,mdkp,15,0.0,0.13059191396582762,gap,14326.822259498664,True,0,loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv; source_message=nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=222 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.13059191396582762],15,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv,projected_full,projected_full,fixed,fixed_cli,1,q2,heaviside,True,True,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv
projected_pegasus,mdkp,15,0.0,0.063160534953693,gap,38784.17049385398,True,0,loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv; source_message=nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=260 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.063160534953693],15,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv,projected_pegasus,projected_pegasus,fixed,fixed_cli,1,q2,heaviside,True,True,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv
projected_up_support,mdkp,15,0.0,0.1297856319118529,gap,14312.018480982077,True,0,loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv; source_message=nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=216 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.1297856319118529],15,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv,projected_up_support,projected_up_support,fixed,fixed_cli,1,q2,heaviside,True,True,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv
projected_zephyr,mdkp,15,0.0,0.06595109991465173,gap,38293.75273734839,True,0,loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv; source_message=nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=224 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.06595109991465173],15,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv,projected_zephyr,projected_zephyr,fixed,fixed_cli,1,q2,heaviside,True,True,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv
projected_chimera,mdkp,15,0.0,0.06205693719508509,gap,42886.316004668304,True,0,loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv; source_message=nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=218 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.06205693719508509],20,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv,projected_chimera,projected_chimera,fixed,fixed_cli,1,q2,heaviside,True,True,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv
projected_full,mdkp,15,0.0,0.13059191396582762,gap,14326.822259498664,True,0,loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv; source_message=nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=222 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.13059191396582762],20,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv,projected_full,projected_full,fixed,fixed_cli,1,q2,heaviside,True,True,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv
projected_pegasus,mdkp,15,0.0,0.063160534953693,gap,38784.17049385398,True,0,loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv; source_message=nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=260 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.063160534953693],20,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv,projected_pegasus,projected_pegasus,fixed,fixed_cli,1,q2,heaviside,True,True,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv
projected_up_support,mdkp,15,0.0,0.1297856319118529,gap,14312.018480982077,True,0,loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv; source_message=nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=216 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.1297856319118529],20,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv,projected_up_support,projected_up_support,fixed,fixed_cli,1,q2,heaviside,True,True,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv
projected_zephyr,mdkp,15,0.0,0.06595109991465173,gap,38293.75273734839,True,0,loaded from /Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv; source_message=nelder_mead restarts=3 successful_restarts=3 start_points_per_dim=3 initial_points=0 param_min=0.01 param_max=unbounded min_clip=off maxiter=200 xatol=0.001 fatol=1e-08 evaluations=224 best_restart=0 optimizer_message=Optimization terminated successfully.; tuning_objective=gap; best_point=[0.06595109991465173],20,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv,projected_zephyr,projected_zephyr,fixed,fixed_cli,1,q2,heaviside,True,True,/Users/llee/Projects/blp-qubo/experiments/tunings/projected_penalty_tuning_summary.csv
